# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
8.78 	-1.65562e-05 	1.09222e-05 	-0.000139953
8.8 	-1.65586e-05 	1.08789e-05 	-0.00013778
8.82 	-1.65614e-05 	1.08706e-05 	-0.00013555
8.84 	-1.65645e-05 	1.08962e-05 	-0.00013327
8.86 	-1.65677e-05 	1.0955e-05 	-0.000130944
8.88 	-1.65709e-05 	1.10455e-05 	-0.000128581
8.9 	-1.65737e-05 	1.11664e-05 	-0.000126187
8.92 	-1.65762e-05 	1.13161e-05 	-0.000123769
8.94 	-1.65782e-05 	1.14928e-05 	-0.000121335
8.96 	-1.65795e-05 	1.16947e-05 	-0.00011889
8.98 	-1.658e-05 	1.19196e-05 	-0.000116444
9 	-1.65796e-05 	1.21655e-05 	-0.000114001
9.02 	-1.65781e-05 	1.24299e-05 	-0.000111571
9.04 	-1.65756e-05 	1.27107e-05 	-0.000109159
9.06 	-1.65718e-05 	1.30052e-05 	-0.000106772
9.08 	-1.65667e-05 	1.33111e-05 	-0.000104417
9.1 	-1.65601e-05 	1.36257e-05 	-0.0001021
9.12 	-1.65521e-05 	1.39466e-05 	-9.98281e-05
9.14 	-1.65425e-05 	1.42711e-05 	-9.76063e-05
9.16 	-1.65313e-05 	1.45967e-05 	-9.54407e-05
9.18 	-1.65184e-05 	1.49208e-05 	-9.33366e-05
9.2 	-1.65038e-05 	1.5241e-05 	-9.12989e-05
9.22 	-1.64873e-05 	1.55548e-05 	-8.93325e-05
9.24 	-1.6469e-05 	1.58598e-05 	-8.74417e-05
9.26 	-1.64488e-05 	1.61537e-05 	-8.56304e-05
9.28 	-1.64267e-05 	1.64343e-05 	-8.39022e-05
9.3 	-1.64026e-05 	1.66995e-05 	-8.22602e-05
