# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
7.38 	-0.00023269 	0 		-3.33684e-18 	-1.39816e-42
7.4 	-0.000228083 	0 		-2.70504e-18 	-7.55865e-43
7.42 	-0.000223567 	0 		-2.19163e-18 	-4.07815e-43
7.44 	-0.00021914 	0 		-1.77465e-18 	-2.1959e-43
7.46 	-0.0002148 	0 		-1.43619e-18 	-1.18004e-43
7.48 	-0.000210547 	0 		-1.16162e-18 	-6.3286e-44
7.5 	-0.000206378 	0 		-9.3901e-19 	-3.38729e-44
7.52 	-0.000202291 	0 		-7.58629e-19 	-1.80937e-44
7.54 	-0.000198286 	0 		-6.1255e-19 	-9.64572e-45
7.56 	-0.000194359 	0 		-4.94319e-19 	-5.13184e-45
7.58 	-0.000190511 	0 		-3.98682e-19 	-2.72485e-45
7.6 	-0.000186738 	0 		-3.21365e-19 	-1.44392e-45
7.62 	-0.000183041 	0 		-2.58895e-19 	-7.63617e-46
7.64 	-0.000179416 	0 		-2.0845e-19 	-4.03032e-46
7.66 	-0.000175864 	0 		-1.67739e-19 	-2.12292e-46
7.68 	-0.000172381 	0 		-1.34903e-19 	-1.11599e-46
7.7 	-0.000168968 	0 		-1.08432e-19 	-5.85488e-47
7.72 	-0.000165622 	0 		-8.71065e-20 	-3.06554e-47
7.74 	-0.000162343 	0 		-6.99352e-20 	-1.60187e-47
7.76 	-0.000159128 	0 		-5.6117e-20 	-8.35371e-48
7.78 	-0.000155977 	0 		-4.50035e-20 	-4.34773e-48
7.8 	-0.000152889 	0 		-3.60704e-20 	-2.25827e-48
7.82 	-0.000149861 	0 		-2.88941e-20 	-1.17064e-48
7.84 	-0.000146894 	0 		-2.31324e-20 	-6.05619e-49
7.86 	-0.000143985 	0 		-1.85091e-20 	-3.12686e-49
7.88 	-0.000141134 	0 		-1.48015e-20 	-1.61119e-49
7.9 	-0.000138339 	0 		-1.18298e-20 	-8.2855e-50
7.92 	-0.0001356 	0 		-9.44932e-21 	-4.25227e-50
